timestamp,ticker,price,score,w_spread,st_spread
2026-06-23 14:14,ACN,125.66,0,47.02,13.52
2026-06-23 14:14,AVGO,382.35,3,16.3,10.36
2026-06-23 14:14,TXN,302.21,4,29.16,15.25
2026-06-23 14:14,QCOM,202.36,3,21.49,18.66
2026-06-23 14:14,DHR,177.77,1,15.01,5.61
2026-06-23 14:14,AMAT,585.61,4,29.51,10.06
2026-06-23 14:14,LRCX,371.04,4,31.48,11.35
2026-06-23 14:14,KLAC,243.49,4,27.52,11.14
2026-06-23 14:14,MCHP,93.29,3,24.18,13.13
2026-06-23 14:14,ADI,405.96,3,26.76,9.62
2026-06-23 14:14,SNPS,468.54,2,7.17,7.17
2026-06-23 14:14,CDNS,381.3,4,11.42,10.1
2026-06-23 14:14,ADBE,197.85,0,33.28,4.15
2026-06-23 14:14,CRM,154.11,0,28.57,3.97
2026-06-23 14:14,NOW,97.14,0,42.62,2.47
2026-06-23 14:14,INTU,259.0,0,80.81,15.48
2026-06-23 14:14,ORCL,166.05,0,21.73,11.87
2026-06-23 14:14,FTNT,147.85,4,23.47,15.24
2026-06-23 14:14,PANW,289.49,4,17.61,15.34
2026-06-23 14:14,CRWD,685.39,4,18.52,15.34
2026-06-23 14:14,ZS,127.61,0,59.03,2.15
2026-06-23 14:14,DDOG,221.87,4,24.54,19.42
2026-06-23 14:14,VEEV,159.5,0,38.02,3.87
2026-06-23 14:14,WDAY,115.7,0,48.91,2.04
2026-06-23 14:14,TTD,18.17,0,90.74,7.99
2026-06-23 14:14,PAYC,125.14,0,28.42,3.83
2026-06-23 14:14,BRK-B,493.14,4,1.58,0.5
2026-06-23 14:14,CB,332.23,4,6.83,0.46
2026-06-23 14:14,AFL,118.13,4,5.08,2.16
2026-06-23 14:14,TRV,315.12,4,5.67,0.82
2026-06-23 14:14,PGR,216.07,3,4.88,0.51
2026-06-23 14:14,AJG,216.47,2,18.39,1.51
2026-06-23 14:14,AON,319.6,0,6.44,0.62
2026-06-23 14:14,WTW,257.91,0,17.77,6.28
2026-06-23 14:14,CINF,174.92,4,3.63,1.39
2026-06-23 14:14,NVO,46.76,2,13.98,5.98
2026-06-23 14:14,ISRG,400.6,0,15.82,5.54
2026-06-23 14:14,EW,86.4,4,3.43,2.27
2026-06-23 14:14,ALGN,172.43,1,8.66,1.4
2026-06-23 14:14,IDXX,541.4,0,12.95,3.6
2026-06-23 14:14,MASI,179.95,4,12.54,4.02
2026-06-23 14:14,PODD,144.01,0,72.02,23.25
2026-06-23 14:14,WST,333.95,4,14.61,10.31
2026-06-23 14:14,MCO,443.77,0,6.79,0.69
2026-06-23 14:14,SPGI,401.57,0,14.36,0.91
2026-06-23 14:14,MSCI,579.84,3,4.77,3.9
2026-06-23 14:14,ICE,133.44,0,10.03,4.28
2026-06-23 14:14,CME,244.46,0,5.54,5.54
2026-06-23 14:14,CBOE,260.24,1,16.19,4.34
2026-06-23 14:14,FDS,218.54,0,23.74,4.12
2026-06-23 14:14,BR,137.0,0,39.08,8.35
2026-06-23 14:14,NDAQ,82.76,0,3.69,2.35
2026-06-23 14:14,COIN,159.04,0,43.66,0.39
2026-06-23 14:14,ODFL,218.93,4,20.45,5.12
2026-06-23 14:14,EXPD,161.62,4,10.11,3.54
2026-06-23 14:14,CHRW,181.9,4,12.35,1.45
2026-06-23 14:14,XPO,200.06,2,23.18,2.91
2026-06-23 14:14,JBHT,270.75,4,25.26,8.63
2026-06-23 14:14,SAIA,434.03,3,23.16,9.39
2026-06-23 14:14,KNSL,307.01,0,24.18,7.41
2026-06-23 14:14,RLI,53.72,1,12.14,6.01
2026-06-23 14:14,CASH,84.17,3,8.7,5.06
2026-06-23 14:14,FICO,1092.92,0,27.4,3.09
2026-06-23 14:14,ROL,44.65,0,13.59,6.42
2026-06-23 14:14,CTAS,168.21,0,10.65,4.23
2026-06-23 14:14,CPRT,29.6,0,24.46,4.75
2026-06-23 14:14,ADP,219.19,2,16.07,2.59
2026-06-23 14:14,PAYX,97.84,2,15.75,2.07
